cas_dni,x_zeme,y_zeme
1,1.49578e+11,2.57287e+09
2,1.49511e+11,5.14497e+09
3,1.49401e+11,7.71555e+09
4,1.49246e+11,1.02838e+10
5,1.49047e+11,1.28491e+10
6,1.48804e+11,1.54106e+10
7,1.48516e+11,1.79674e+10
8,1.48185e+11,2.0519e+10
9,1.4781e+11,2.30645e+10
10,1.47391e+11,2.56032e+10
11,1.46929e+11,2.81343e+10
12,1.46423e+11,3.0657e+10
13,1.45874e+11,3.31707e+10
14,1.45281e+11,3.56746e+10
15,1.44646e+11,3.81679e+10
16,1.43968e+11,4.06499e+10
17,1.43247e+11,4.31199e+10
18,1.42484e+11,4.55771e+10
19,1.41678e+11,4.80209e+10
20,1.40831e+11,5.04504e+10
21,1.39942e+11,5.2865e+10
22,1.39011e+11,5.52639e+10
23,1.3804e+11,5.76465e+10
24,1.37027e+11,6.0012e+10
25,1.35974e+11,6.23597e+10
26,1.34881e+11,6.4689e+10
27,1.33748e+11,6.69991e+10
28,1.32575e+11,6.92894e+10
29,1.31363e+11,7.15592e+10
30,1.30112e+11,7.38078e+10
31,1.28822e+11,7.60346e+10
32,1.27495e+11,7.82388e+10
33,1.26129e+11,8.04199e+10
34,1.24727e+11,8.25771e+10
35,1.23287e+11,8.471e+10
36,1.21811e+11,8.68177e+10
37,1.20299e+11,8.88997e+10
38,1.18751e+11,9.09554e+10
39,1.17168e+11,9.29842e+10
40,1.1555e+11,9.49855e+10
41,1.13898e+11,9.69586e+10
42,1.12213e+11,9.8903e+10
43,1.10494e+11,1.00818e+11
44,1.08742e+11,1.02703e+11
45,1.06958e+11,1.04558e+11
46,1.05143e+11,1.06382e+11
47,1.03296e+11,1.08175e+11
48,1.01419e+11,1.09935e+11
49,9.9512e+10,1.11663e+11
50,9.75754e+10,1.13357e+11
51,9.56098e+10,1.15019e+11
52,9.36159e+10,1.16646e+11
53,9.15943e+10,1.18238e+11
54,8.95455e+10,1.19796e+11
55,8.74702e+10,1.21318e+11
56,8.53691e+10,1.22804e+11
57,8.32426e+10,1.24254e+11
58,8.10915e+10,1.25667e+11
59,7.89163e+10,1.27042e+11
60,7.67178e+10,1.2838e+11
61,7.44966e+10,1.2968e+11
62,7.22532e+10,1.30942e+11
63,6.99885e+10,1.32165e+11
64,6.7703e+10,1.33348e+11
65,6.53975e+10,1.34493e+11
66,6.30726e+10,1.35597e+11
67,6.07291e+10,1.36661e+11
68,5.83675e+10,1.37685e+11
69,5.59886e+10,1.38668e+11
70,5.35931e+10,1.39609e+11
71,5.11818e+10,1.4051e+11
72,4.87553e+10,1.41368e+11
73,4.63143e+10,1.42185e+11
74,4.38597e+10,1.4296e+11
75,4.1392e+10,1.43692e+11
76,3.8912e+10,1.44382e+11
77,3.64206e+10,1.45029e+11
78,3.39183e+10,1.45633e+11
79,3.1406e+10,1.46194e+11
80,2.88843e+10,1.46711e+11
81,2.63541e+10,1.47185e+11
82,2.38161e+10,1.47616e+11
83,2.1271e+10,1.48002e+11
84,1.87197e+10,1.48345e+11
85,1.61628e+10,1.48644e+11
86,1.3601e+10,1.48899e+11
87,1.10353e+10,1.49109e+11
88,8.46627e+09,1.49276e+11
89,5.89475e+09,1.49398e+11
90,3.32147e+09,1.49476e+11
91,7.4721e+08,1.49509e+11
92,-1.82727e+09,1.49498e+11
93,-4.40121e+09,1.49443e+11
94,-6.97384e+09,1.49344e+11
95,-9.54441e+09,1.492e+11
96,-1.21121e+10,1.49012e+11
97,-1.46763e+10,1.4878e+11
98,-1.72361e+10,1.48503e+11
99,-1.97908e+10,1.48183e+11
100,-2.23396e+10,1.47818e+11
101,-2.48818e+10,1.4741e+11
102,-2.74166e+10,1.46958e+11
103,-2.99432e+10,1.46463e+11
104,-3.2461e+10,1.45924e+11
105,-3.49692e+10,1.45342e+11
106,-3.7467e+10,1.44717e+11
107,-3.99536e+10,1.44048e+11
108,-4.24284e+10,1.43337e+11
109,-4.48907e+10,1.42584e+11
110,-4.73396e+10,1.41788e+11
111,-4.97745e+10,1.4095e+11
112,-5.21946e+10,1.4007e+11
113,-5.45992e+10,1.39149e+11
114,-5.69876e+10,1.38187e+11
115,-5.93591e+10,1.37183e+11
116,-6.1713e+10,1.36139e+11
117,-6.40486e+10,1.35054e+11
118,-6.63651e+10,1.33929e+11
119,-6.8662e+10,1.32765e+11
120,-7.09385e+10,1.31561e+11
121,-7.3194e+10,1.30318e+11
122,-7.54277e+10,1.29037e+11
123,-7.7639e+10,1.27717e+11
124,-7.98273e+10,1.26359e+11
125,-8.19919e+10,1.24964e+11
126,-8.41322e+10,1.23531e+11
127,-8.62475e+10,1.22062e+11
128,-8.83372e+10,1.20557e+11
129,-9.04007e+10,1.19016e+11
130,-9.24373e+10,1.1744e+11
131,-9.44465e+10,1.15828e+11
132,-9.64277e+10,1.14183e+11
133,-9.83802e+10,1.12503e+11
134,-1.00304e+11,1.1079e+11
135,-1.02197e+11,1.09045e+11
136,-1.0406e+11,1.07266e+11
137,-1.05893e+11,1.05456e+11
138,-1.07694e+11,1.03615e+11
139,-1.09462e+11,1.01743e+11
140,-1.11199e+11,9.98406e+10
141,-1.12902e+11,9.79086e+10
142,-1.14572e+11,9.59476e+10
143,-1.16208e+11,9.39581e+10
144,-1.17809e+11,9.19407e+10
145,-1.19376e+11,8.9896e+10
146,-1.20907e+11,8.78246e+10
147,-1.22402e+11,8.57271e+10
148,-1.2386e+11,8.36041e+10
149,-1.25282e+11,8.14564e+10
150,-1.26667e+11,7.92844e+10
151,-1.28014e+11,7.70889e+10
152,-1.29323e+11,7.48705e+10
153,-1.30594e+11,7.26299e+10
154,-1.31825e+11,7.03677e+10
155,-1.33018e+11,6.80846e+10
156,-1.34171e+11,6.57813e+10
157,-1.35285e+11,6.34585e+10
158,-1.36358e+11,6.11168e+10
159,-1.37391e+11,5.87569e+10
160,-1.38382e+11,5.63796e+10
161,-1.39333e+11,5.39856e+10
162,-1.40243e+11,5.15755e+10
163,-1.4111e+11,4.91501e+10
164,-1.41936e+11,4.67101e+10
165,-1.4272e+11,4.42562e+10
166,-1.43461e+11,4.17892e+10
167,-1.4416e+11,3.93098e+10
168,-1.44815e+11,3.68187e+10
169,-1.45428e+11,3.43167e+10
170,-1.45998e+11,3.18044e+10
171,-1.46524e+11,2.92828e+10
172,-1.47007e+11,2.67524e+10
173,-1.47446e+11,2.42141e+10
